conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,scenario_jar,scenario_index
77,1,1,1,0,True,True,/home/miningframework/output/files/spotify-web-api-java/e836da54e76e85cf60a2b34fc264e75a21d6f97a/original-without-dependencies/merge/spotify-web-api-java-9.0.0-RC1.jar,33
78,1,1,1,0,True,True,/home/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,34
79,1,1,1,0,True,True,/home/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,34
80,2,2,2,0,True,True,/home/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,35
81,2,2,2,0,True,True,/home/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,36
82,3,3,3,0,True,True,/home/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,37
83,3,3,3,0,True,True,/home/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,38
84,1,1,1,0,True,True,/home/miningframework/output/files/jbake-maven-plugin/34fe642a4dd2f95ef72208fb0b7cea663e40f3ad/original-without-dependencies/merge/jbake-maven-plugin-0.0.10-SNAPSHOT.jar,39
85,4,4,4,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
86,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
87,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
88,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
89,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
90,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
91,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
92,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,40
93,2,4,4,2,True,True,/home/miningframework/output/files/mongodb-async-driver/d2f6677f0192ca72fb886a38029b7690dabcc7a0/original-without-dependencies/merge/mongodb-async-driver-1.2.4-SNAPSHOT.jar,41
94,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
95,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
96,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
97,5,5,5,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
98,1,1,1,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
99,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
100,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
101,1,1,1,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
102,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
103,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
104,4,4,4,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,42
105,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,43
106,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
107,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
108,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
109,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
110,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
111,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,44
112,3,3,3,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,45
113,2,2,2,0,True,True,/home/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,45
114,1,1,1,0,True,True,/home/miningframework/output/files/mongodb-async-driver/2df4f3664dbf6f7217cd03ea369c9f7d28427892/original-without-dependencies/merge/mongodb-async-driver-1.1.0-SNAPSHOT.jar,46
115,15,2,15,13,True,True,/home/miningframework/output/files/vectorz/889e8999395fb5f60266d32bec790fc2ad3daeb8/original-without-dependencies/merge/vectorz-0.33.1-SNAPSHOT.jar,47
116,2,2,2,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,48
117,3,3,3,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,48
118,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,48
119,3,3,3,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,48
120,2,2,2,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,48
121,2,2,2,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
122,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
123,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
124,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
125,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
126,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
127,1,1,1,0,True,True,/home/miningframework/output/files/log-synth/83316ef849229d87b24ce5d0d6d54f1f76764759/original-without-dependencies/merge/log-synth-0.1-SNAPSHOT.jar,49
128,2,2,2,0,True,True,/home/miningframework/output/files/iban4j/f3bf7d2b03dc703f74882f2f478e90e86db121a1/original-without-dependencies/merge/iban4j-3.2.3-RELEASE.jar,50
129,2,2,2,0,True,True,/home/miningframework/output/files/iban4j/f3bf7d2b03dc703f74882f2f478e90e86db121a1/original-without-dependencies/merge/iban4j-3.2.3-RELEASE.jar,50
130,2,3,3,1,True,True,/home/miningframework/output/files/canal/10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468/original-without-dependencies/merge/canal.parse-1.0.21-SNAPSHOT.jar,51
131,2,3,3,1,True,False,/home/miningframework/output/files/canal/10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468/original-without-dependencies/merge/canal.parse-1.0.21-SNAPSHOT.jar,51
132,2,3,3,1,True,False,/home/miningframework/output/files/canal/10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468/original-without-dependencies/merge/canal.parse-1.0.21-SNAPSHOT.jar,51
133,3,3,3,0,True,True,/home/miningframework/output/files/accumulo/7688eaf0b684a2bb76a0b49bff9a79763d41a8e5/original-without-dependencies/merge/accumulo-fate-1.6.0-SNAPSHOT.jar,52
134,3,3,3,0,True,True,/home/miningframework/output/files/accumulo/8312b0740ecdfaff7afd963e8bab91a0bfdeafd1/original-without-dependencies/merge/accumulo-core-1.6.0-SNAPSHOT.jar,53
135,2,2,2,0,True,True,/home/miningframework/output/files/accumulo/8312b0740ecdfaff7afd963e8bab91a0bfdeafd1/original-without-dependencies/merge/accumulo-core-1.6.0-SNAPSHOT.jar,53
136,1,1,1,0,True,True,/home/miningframework/output/files/staxmapper/8df8c6aad07328ccec3c4326485074342d85673b/original-without-dependencies/merge/staxmapper-1.2.0.Beta1-SNAPSHOT.jar,54
